Cow#,Short Name,Calved,Lact#,Age (mths),Milk PI,Protein PI,Fat PI,Milk,Fat Kg,Fat %,Protein Kg,Protein %,SCC,Cow#_1,DIM,LTD Milk,LTD Protein Kg,LTD Protein %,LTD Fat Kg,LTD Fat %,Tests,Peak SCC,Peak SCC Date,Influence
1139,1139,09/03/2017,6,134,109,107,113,22,0.99,4.49,0.77,3.49,67,1139,217,6130,209,3.41,294,4.8,8,266,14/03/2017,
1143,1143,14/07/2017,8,126,96,91,94,25,1.05,4.19,0.73,2.9,24,1143,90,2679,89,3.32,108,4.03,4,315,18/07/2017,
1151,1151,14/07/2017,5,102,87,94,92,24,1.2,5,0.8,3.35,20,1151,90,2287,88,3.85,102,4.46,4,78,18/07/2017,
1153,1153,31/07/2016,4,91,108,103,107,12,0.71,5.93,0.57,4.73,99,1153,438,10374,373,3.6,483,4.66,15,309,09/11/2016,
1154,1154,30/07/2016,4,90,112,106,116,19,0.86,4.52,0.74,3.89,138,1154,439,10956,373,3.4,489,4.46,15,459,07/12/2016,
1156,1156,24/07/2016,3,78,95,101,109,12,0.81,6.75,0.62,5.14,74,1156,445,9372,367,3.92,504,5.38,15,211,18/07/2017,
1157,1157,27/02/2015,2,61,85,80,74,12,0.55,4.61,0.42,3.5,136,1157,958,18578,608,3.27,797,4.29,29,304,02/03/2015,
1159,1159,02/07/2017,4,90,102,95,110,27,1.35,4.99,0.81,2.99,33,1159,102,3153,102,3.24,154,4.88,4,75,18/07/2017,
1161,1161,24/07/2016,3,78,120,114,111,9,0.47,5.17,0.39,4.37,225,1161,445,10662,373,3.5,457,4.29,15,308,18/07/2017,
1162,1162,13/02/2017,3,73,98,96,96,24,1.13,4.7,0.85,3.56,30,1162,241,6092,215,3.53,275,4.51,9,30,12/10/2017,
1164,1164,27/01/2017,3,72,90,90,97,19,1.12,5.87,0.78,4.11,83,1164,258,5776,200,3.46,279,4.83,9,194,15/08/2017,
1165,1165,09/02/2017,3,60,95,91,101,19,1.05,5.5,0.67,3.55,180,1165,245,5984,198,3.31,288,4.81,9,346,14/02/2017,
1167,1167,12/02/2017,3,73,98,98,103,17,1.01,5.92,0.71,4.17,73,1167,242,6001,209,3.48,280,4.67,9,111,14/02/2017,
1168,1168,03/02/2017,3,61,75,77,77,18,1.01,5.6,0.68,3.76,69,1168,251,4886,171,3.5,228,4.67,9,3081,14/02/2017,
1169,1169,25/01/2017,2,60,89,86,97,19,1.07,5.62,0.7,3.69,73,1169,260,6032,202,3.35,295,4.89,9,87,14/03/2017,
1172,1172,01/02/2017,2,61,92,92,79,21,0.88,4.21,0.79,3.78,66,1172,253,5792,201,3.47,229,3.95,8,70,14/03/2017,
1173,1173,29/07/2016,2,54,93,97,99,13,0.81,6.21,0.6,4.58,87,1173,440,9026,339,3.76,447,4.95,15,182,18/07/2017,
1174,1174,31/01/2017,3,61,73,78,84,18,1.09,6.08,0.75,4.14,40,1174,254,4663,173,3.71,236,5.06,9,52,12/09/2017,
1175,1175,21/07/2017,2,54,85,81,77,23,0.98,4.27,0.67,2.93,29,1175,83,2122,64,3.02,64,3.02,3,29,12/10/2017,
1176,1176,08/08/2016,1,43,79,77,83,14,0.81,5.82,0.59,4.18,75,1176,430,7926,282,3.56,388,4.9,15,340,14/02/2017,
1177,1177,16/08/2016,1,25,119,115,128,15,0.92,6.12,0.64,4.26,45,1177,422,8800,304,3.45,428,4.86,14,103,11/10/2016,
1178,1178,04/09/2016,1,38,94,98,102,10,0.66,6.61,0.51,5.06,195,1178,403,7742,293,3.78,403,5.21,14,802,08/09/2016,
1179,1179,07/10/2016,2,47,75,79,89,12,0.78,6.46,0.52,4.33,141,1179,370,6225,235,3.78,339,5.45,13,523,11/10/2016,
1180,1180,13/08/2017,1,43,,,,33,1.18,3.59,0.93,2.82,359,1180,60,1692,52,3.07,66,3.9,3,359,12/10/2017,
2204,2204,01/08/2017,10,188,83,82,80,22,0.91,4.15,0.69,3.14,52,2204,72,1872,59,3.15,70,3.74,3,52,12/10/2017,
2671,2671,09/02/2017,8,151,97,84,92,21,1.06,5.05,0.72,3.41,64,2671,245,5946,181,3.04,260,4.37,9,5304,18/07/2017,
2697,ERICA,19/03/2017,9,153,112,95,107,24,1.15,4.78,0.74,3.09,92,2697,207,6100,176,2.89,265,4.34,7,1152,16/05/2017,
2736,2736,10/08/2017,8,152,90,92,93,24,1.11,4.64,0.71,2.94,19,2736,63,1774,63,3.55,73,4.11,3,1422,12/09/2017,
2764,2764,29/01/2017,8,143,108,97,93,26,1.01,3.89,0.89,3.41,77,2764,256,6962,214,3.07,269,3.86,9,77,12/10/2017,
2787,2787,28/07/2016,7,137,104,94,118,17,0.96,5.66,0.61,3.61,390,2787,441,10024,325,3.24,499,4.98,15,489,07/12/2016,
2806,2806,11/07/2016,7,136,109,102,111,17,1.06,6.21,0.72,4.22,136,2806,458,11126,381,3.42,522,4.69,16,908,16/08/2016,
2833,2833,07/08/2017,9,148,109,99,98,33,1.19,3.6,0.87,2.65,97,2833,66,2228,71,3.19,87,3.9,3,493,15/08/2017,
2853,2853,05/02/2017,8,140,119,98,117,26,1.23,4.72,0.87,3.34,46,2853,249,7485,214,2.86,324,4.33,9,82,14/02/2017,
2906,2906,21/02/2017,8,138,105,100,123,20,0.82,4.1,0.7,3.5,225,2906,233,6300,207,3.29,336,5.33,8,225,12/10/2017,
2921,2921,10/02/2017,7,138,96,88,112,19,0.98,5.16,0.65,3.4,33,2921,244,5954,189,3.17,315,5.29,9,113,14/03/2017,
2944,2944,04/08/2017,9,141,107,101,87,27,0.97,3.59,0.78,2.89,213,2944,69,2477,79,3.19,79,3.19,3,213,12/10/2017,
2967,2967,25/02/2017,8,132,97,92,103,24,1.25,5.2,0.83,3.47,91,2967,229,5692,185,3.25,277,4.87,8,1043,12/09/2017,
2970,2970,05/02/2017,8,132,118,105,120,20,0.99,4.94,0.72,3.58,226,2970,249,7052,218,3.09,332,4.71,9,239,18/07/2017,
2984,2984,10/03/2017,7,133,125,105,114,25,1.09,4.36,0.78,3.11,69,2984,216,6862,201,2.93,284,4.14,8,105,15/08/2017,
3017,3017,05/08/2017,6,137,107,98,103,30,1.29,4.31,0.84,2.79,13,3017,68,2330,73,3.13,93,3.99,3,31,15/08/2017,
3061,3061,04/03/2017,7,131,111,107,114,24,1.29,5.36,0.79,3.29,51,3061,222,6355,211,3.32,301,4.74,8,82,16/06/2017,
3075,3075,16/07/2017,8,134,114,100,116,31,1.54,4.97,0.89,2.86,42,3075,88,2860,87,3.04,125,4.37,4,1074,18/07/2017,
3076,3076,25/01/2017,7,129,89,90,92,19,1.08,5.69,0.72,3.78,46,3076,260,5808,199,3.43,271,4.67,9,67,14/03/2017,
3103,3103,23/01/2017,7,126,87,91,88,16,0.75,4.68,0.72,4.47,356,3103,262,5690,203,3.57,257,4.52,9,356,12/10/2017,
3134,3134,06/08/2017,7,129,109,102,107,30,1.29,4.29,0.88,2.93,11,3134,67,2364,76,3.21,98,4.15,3,526,15/08/2017,
3150,3150,22/07/2016,5,113,119,114,119,24,1.45,6.06,1.03,4.31,384,3150,447,11921,426,3.57,562,4.71,15,384,12/10/2017,
3184,3184,03/07/2017,6,124,100,93,92,23,1,4.33,0.66,2.86,97,3184,101,3240,103,3.18,127,3.92,4,97,12/10/2017,
3246,3246,29/07/2017,5,121,100,97,98,26,1.24,4.78,0.78,3,31,3246,75,2447,79,3.23,101,4.13,3,41,15/08/2017,
3260,3260,24/02/2017,5,121,118,102,90,23,0.99,4.32,0.72,3.15,2100,3260,230,7051,210,2.98,244,3.46,8,2100,12/10/2017,
3262,3262,17/08/2016,4,109,110,96,113,14,0.69,4.9,0.53,3.8,62,3262,421,10150,323,3.18,459,4.52,14,818,18/01/2017,
3275,3275,17/02/2016,5,103,109,107,120,13,0.8,6.16,0.57,4.39,103,3275,603,12828,477,3.72,680,5.3,20,225,15/08/2017,
3338,3338,20/02/2017,6,114,70,75,84,16,0.99,6.2,0.59,3.7,117,3338,234,4304,159,3.69,231,5.37,8,117,12/10/2017,
3343,3343,07/02/2017,6,114,101,88,110,20,1.04,5.19,0.66,3.32,140,3343,247,6494,196,3.02,317,4.88,9,646,14/02/2017,
3346,3346,10/07/2017,6,119,127,114,109,29,1.04,3.6,1.04,3.6,8,3346,94,3879,116,2.99,145,3.74,4,55,18/07/2017,
3369,3369,31/07/2017,6,116,114,100,102,35,1.24,3.53,0.93,2.65,12,3369,73,2555,77,3.01,98,3.84,3,371,15/08/2017,
3383,3383,31/07/2017,6,115,114,108,106,32,1.49,4.67,0.94,2.94,214,3383,73,2684,89,3.32,101,3.76,3,2001,15/08/2017,
3387,3387,05/03/2017,6,110,96,97,97,22,1.13,5.13,0.81,3.68,54,3387,221,5494,192,3.49,258,4.7,8,123,14/03/2017,
3395,3395,22/02/2017,5,108,98,95,105,20,0.99,4.96,0.77,3.83,63,3395,232,5902,196,3.32,289,4.9,8,85,12/09/2017,
3404,3404,10/07/2017,5,113,82,85,101,24,1.85,7.71,0.75,3.12,19,3404,94,2255,81,3.59,111,4.92,4,43,18/07/2017,
3405,3405,09/03/2017,5,109,108,99,110,17,0.9,5.27,0.55,3.24,74,3405,217,5965,186,3.12,276,4.63,8,148,14/03/2017,
3406,3406,13/07/2016,5,101,90,90,91,11,0.65,5.87,0.55,5.02,140,3406,456,9522,356,3.74,435,4.57,16,140,12/10/2017,
3408,3408,12/02/2017,6,108,101,91,87,20,0.64,3.2,0.72,3.58,324,3408,242,6086,190,3.12,232,3.81,9,324,12/10/2017,
3422,3422,02/07/2016,4,100,116,101,107,13,0.66,5.07,0.54,4.12,361,3422,467,11497,374,3.25,483,4.2,16,361,12/10/2017,
3424,3424,26/01/2017,5,107,88,84,97,18,0.85,4.71,0.68,3.75,240,3424,259,5670,184,3.25,276,4.87,9,420,14/02/2017,
3425,3425,31/01/2017,4,107,112,105,116,21,0.9,4.3,0.74,3.54,141,3425,254,7227,234,3.24,325,4.5,9,356,14/02/2017,
