TreatmentGroup,TreatmentCode,TreatmentLabel,CowId,PeriodNo,PeriodFinish,LiveWt,Condition,CellCount,DaysInMilk,MilkYield,FatYield,ProteinYield,LactoseYield,WtdFatpc,WtdProteinpc,WtdLactosepc,LWEstimate,MilkEstimate,TestEstimate
0,1,A  Herd 1   Red   (NZL  4.5),852,2,13/06/2003,455,5,,0,,,,,,,,FALSE,FALSE,FALSE
0,1,A  Herd 1   Red   (NZL  4.5),852,3,20/06/2003,455,5,,0,,,,,,,,TRUE,FALSE,FALSE
0,1,A  Herd 1   Red   (NZL  4.5),852,4,27/06/2003,470,5,,0,,,,,,,,FALSE,FALSE,FALSE
0,1,A  Herd 1   Red   (NZL  4.5),852,5,04/07/2003,470,5,,0,,,,,,,,TRUE,FALSE,FALSE
0,1,A  Herd 1   Red   (NZL  4.5),852,6,11/07/2003,467,5,,0,,,,,,,,FALSE,FALSE,FALSE
0,1,A  Herd 1   Red   (NZL  4.5),852,7,18/07/2003,467,5,,0,,,,,,,,TRUE,FALSE,FALSE
0,1,A  Herd 1   Red   (NZL  4.5),852,8,25/07/2003,493,5,,0,,,,,,,,FALSE,FALSE,FALSE
0,1,A  Herd 1   Red   (NZL  4.5),852,9,01/08/2003,493,5,,0,,,,,,,,TRUE,FALSE,FALSE
0,1,A  Herd 1   Red   (NZL  4.5),852,10,08/08/2003,495,5,,0,,,,,,,,FALSE,FALSE,FALSE
0,1,A  Herd 1   Red   (NZL  4.5),852,11,15/08/2003,435,4,,3,60,2.850000143,2.202000141,2.981999874,4.750000477,3.670000315,4.96999979,FALSE,FALSE,TRUE
0,1,A  Herd 1   Red   (NZL  4.5),852,12,22/08/2003,408,4,55,7,140,6.650000572,5.138000488,6.957999706,4.750000477,3.670000315,4.96999979,FALSE,FALSE,FALSE
0,1,A  Herd 1   Red   (NZL  4.5),852,13,29/08/2003,403,4,64,7,148.4000092,6.203120232,4.971399784,7.538720608,4.179999828,3.349999666,5.079999924,FALSE,FALSE,FALSE
0,1,A  Herd 1   Red   (NZL  4.5),852,14,05/09/2003,405,4,,7,175,8.382499695,5.372499943,9.082499504,4.789999962,3.069999933,5.190000057,FALSE,FALSE,FALSE
0,1,A  Herd 1   Red   (NZL  4.5),852,15,12/09/2003,407,4,,7,176.4000092,8.026200294,5.344920635,8.925840378,4.549999714,3.029999971,5.059999943,FALSE,FALSE,FALSE
0,1,A  Herd 1   Red   (NZL  4.5),852,16,19/09/2003,413,4,,7,173.6000061,9.061920166,5.520480633,8.78415966,5.21999979,3.180000305,5.059999466,FALSE,FALSE,FALSE
0,1,A  Herd 1   Red   (NZL  4.5),852,17,26/09/2003,425,4,65,7,163.8000183,6.928740978,5.143321037,8.386561394,4.230000019,3.140000343,5.120000362,FALSE,FALSE,FALSE
